Year,Month,Day,Hour,Minute,Second,FracSec,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,QuatX,QuatY,QuatZ,QuatS
-20,1,6,1,9,59,275,+0.332,-0.413,+0.336,+00.0554,+00.0150,-09.1555,+00.000785,-00.000493,+00.000237,-078.032,+000.247,-000.017,+0.001240867,+1.76687E-003,-6.29539E-001,+7.76966E-001
-20,1,6,1,9,59,278,+0.332,-0.413,+0.336,+00.0454,+00.0224,-09.1404,+00.000378,+00.000608,+00.000572,-078.032,+000.247,-000.017,+0.001241783,+1.77037E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,280,+0.329,-0.408,+0.347,+00.0223,-00.0033,-09.1391,-00.000205,+00.001037,+00.000599,-078.032,+000.247,-000.017,+0.001242176,+1.77221E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,283,+0.329,-0.408,+0.347,+00.0970,+00.0091,-09.1725,-00.000301,+00.001987,-00.000056,-078.032,+000.247,-000.017,+0.001243458,+1.77215E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,285,+0.328,-0.411,+0.344,+00.0865,+00.0055,-09.1899,+00.000089,+00.000798,-00.000237,-078.032,+000.247,-000.017,+0.001242736,+1.77107E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,288,+0.323,-0.409,+0.345,+00.0177,-00.0141,-09.1893,+00.000486,-00.000804,+00.000192,-078.032,+000.248,-000.017,+0.001246858,+1.77528E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,290,+0.323,-0.409,+0.345,+00.0673,+00.0221,-09.1670,+00.000004,-00.000104,+00.000208,-078.032,+000.248,-000.017,+0.001246458,+1.77652E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,293,+0.324,-0.409,+0.345,+00.0801,+00.0500,-09.1631,-00.000425,+00.000468,+00.000136,-078.032,+000.249,-000.017,+0.001246619,+1.78112E-003,-6.29538E-001,+7.76967E-001
-20,1,6,1,9,59,295,+0.324,-0.409,+0.345,+00.0128,+00.0103,-09.1715,-00.000109,+00.000975,+00.000846,-078.032,+000.249,-000.018,+0.001247946,+1.78318E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,298,+0.329,-0.411,+0.345,+00.0551,+00.0073,-09.1717,-00.000182,+00.000093,+00.000784,-078.032,+000.248,-000.018,+0.001243708,+1.77975E-003,-6.29536E-001,+7.76968E-001
-20,1,6,1,9,59,300,+0.325,-0.411,+0.344,+00.0661,+00.0225,-09.1841,+00.000473,-00.001337,+00.000205,-078.032,+000.248,-000.018,+0.001243587,+1.77746E-003,-6.29536E-001,+7.76969E-001
