,xAcc,yAcc,zAcc
302,-0.0212,-0.004,-9.1465
303,0.0273,-0.0104,-9.1368
304,0.0697,0.011,-9.1618
305,0.0098,-0.0205,-9.1587
306,0.0444,-0.0158,-9.1465
307,0.0589,0.0148,-9.1703
308,-0.0225,-0.0198,-9.1328
309,0.016,-0.005,-9.1367
310,0.0696,0.0091,-9.1609
311,-0.0041,-0.0224,-9.1483
312,-0.0007,-0.0046,-9.1454
313,0.058,0.0334,-9.172
314,-0.0057,0.0288,-9.2009
315,-0.0042,0.0201,-9.1943
316,0.0719,0.0346,-9.145
317,0.0152,0.0192,-9.1331
318,-0.001,0.0168,-9.1795
319,0.0614,0.0413,-9.1862
320,0.0223,0.0244,-9.1517
321,-0.0056,0.0263,-9.1343
322,0.0617,0.055,-9.1567
323,0.0401,0.0184,-9.1597
324,0.0123,-0.0189,-9.1556
325,0.092,0.0076,-9.1658
326,0.0687,0.0117,-9.1655
327,0.0003,-0.0048,-9.1767
328,0.0659,0.0213,-9.1901
329,0.0712,0.0114,-9.1767
330,0.0076,-0.0138,-9.1334
331,0.0632,-0.0092,-9.116
332,0.0607,-0.0031,-9.1252
333,-0.0069,-0.0096,-9.1379
334,0.0507,-0.0007,-9.1633
335,0.0746,0.0303,-9.1666
336,0.0179,0.0246,-9.147
337,0.067,0.0088,-9.1744
338,0.0938,0.0066,-9.1709
339,0.0163,-0.0016,-9.1149
340,0.0431,-0.0046,-9.126
341,0.0816,0.0198,-9.1738
342,0.0066,0.0178,-9.1707
343,0.025,0.0152,-9.1211
344,0.0941,0.0278,-9.1271
345,0.0385,0.0086,-9.1628
346,0.0486,0.0051,-9.1522
347,0.111,0.0217,-9.1606
348,0.0388,-0.0026,-9.1735
349,0.0131,-0.0114,-9.1678
350,0.0965,0.0128,-9.157
351,0.0539,0.0037,-9.1401
352,0.0085,-0.0165,-9.1387
353,0.0808,-0.0177,-9.1549
354,0.0475,-0.0242,-9.1532
355,-0.0084,-0.0309,-9.1502
356,0.0642,-0.0081,-9.1826
357,0.0412,-0.0004,-9.1723
358,-0.0295,-0.0219,-9.1272
359,0.032,0.0039,-9.1484
360,0.0286,0.0094,-9.1753
361,-0.0104,-0.039,-9.1708
362,0.0612,-0.0194,-9.1694
363,0.0608,-0.0122,-9.1707
364,-0.0036,-0.0398,-9.1654
365,0.0619,-0.0139,-9.1611
366,0.0807,0.0192,-9.1766
367,-0.0106,-0.0009,-9.1888
368,0.0368,0.0067,-9.1901
369,0.0902,0.0203,-9.1763
370,0.0028,-0.0205,-9.1564
371,0.0203,-0.0162,-9.1457
372,0.0736,0.0061,-9.146
373,0.0002,-0.0088,-9.1551
374,0.0166,-0.0205,-9.1484
375,0.0773,0.0118,-9.151
376,0.0122,-0.004,-9.1652
377,0.0278,-0.0297,-9.1589
378,0.0776,0.0187,-9.1701
379,-0.0062,0.0074,-9.1613
380,-0.015,-0.009,-9.1411
381,0.0552,0.0202,-9.1375
382,0.0178,0.0061,-9.1525
383,0.011,-0.0177,-9.1651
384,0.1061,-0.0019,-9.1569
385,0.0502,-0.0048,-9.1546
386,-0.0114,-0.0161,-9.1719
387,0.0694,0.0103,-9.1799
388,0.0478,0.0291,-9.1589
389,0.0087,0.014,-9.1438
390,0.0641,0.0063,-9.1436
391,0.0453,0.006,-9.1423
392,-0.001,-0.0192,-9.1481
393,0.0527,0.0123,-9.1647
394,0.0545,0.0397,-9.1639
395,-0.001,0.0086,-9.1647
396,0.0489,0.0111,-9.1575
397,0.0754,0.0326,-9.1521
398,0.0154,0.0209,-9.1537
399,0.0493,0.0156,-9.1431
400,0.0843,0.0301,-9.1211
401,0.0149,0.0023,-9.1225
402,0.0235,-0.0148,-9.1434
403,0.045,0.0161,-9.1565
404,-0.0157,0.0002,-9.1255
405,0.0277,-0.0059,-9.1
406,0.0951,0.0328,-9.1452
407,0.0117,0.012,-9.1812
408,-0.0009,0.001,-9.1858
409,0.0678,0.0461,-9.1811
410,0.0072,0.0258,-9.1748
411,-0.0062,-0.0126,-9.167
412,0.061,0.003,-9.1686
413,0.0122,-0.0033,-9.162
414,-0.0121,-0.0096,-9.1603
