,Yaw,Pitch,Roll
616,-76.559,0.213,-0.006
617,-76.559,0.213,-0.006
618,-76.559,0.214,-0.006
619,-76.559,0.214,-0.006
620,-76.559,0.214,-0.006
621,-76.559,0.214,-0.006
622,-76.559,0.213,-0.006
623,-76.559,0.213,-0.006
624,-76.559,0.213,-0.006
625,-76.559,0.213,-0.007
626,-76.559,0.213,-0.007
627,-76.559,0.213,-0.007
628,-76.559,0.213,-0.007
629,-76.56,0.213,-0.007
630,-76.56,0.214,-0.007
631,-76.56,0.214,-0.007
632,-76.56,0.213,-0.007
633,-76.56,0.213,-0.007
634,-76.56,0.213,-0.007
635,-76.56,0.213,-0.007
636,-76.56,0.213,-0.007
637,-76.56,0.213,-0.007
638,-76.56,0.212,-0.007
639,-76.56,0.213,-0.007
640,-76.56,0.213,-0.008
641,-76.56,0.213,-0.008
642,-76.56,0.213,-0.008
643,-76.561,0.213,-0.008
644,-76.561,0.212,-0.008
645,-76.561,0.212,-0.008
646,-76.561,0.213,-0.008
647,-76.561,0.213,-0.008
648,-76.561,0.213,-0.008
649,-76.561,0.213,-0.008
650,-76.561,0.212,-0.008
651,-76.561,0.212,-0.008
652,-76.561,0.213,-0.008
653,-76.561,0.213,-0.008
654,-76.561,0.213,-0.008
655,-76.561,0.213,-0.008
656,-76.561,0.212,-0.008
657,-76.561,0.212,-0.008
658,-76.561,0.213,-0.008
659,-76.561,0.214,-0.008
660,-76.561,0.213,-0.008
661,-76.561,0.213,-0.008
662,-76.561,0.213,-0.008
663,-76.561,0.213,-0.009
664,-76.561,0.214,-0.009
665,-76.561,0.214,-0.009
666,-76.561,0.213,-0.009
667,-76.561,0.213,-0.009
668,-76.561,0.212,-0.009
669,-76.561,0.212,-0.009
670,-76.561,0.213,-0.008
671,-76.561,0.213,-0.009
672,-76.561,0.212,-0.008
673,-76.561,0.212,-0.008
674,-76.561,0.212,-0.008
675,-76.561,0.213,-0.008
676,-76.561,0.213,-0.009
677,-76.561,0.212,-0.009
678,-76.561,0.212,-0.008
679,-76.561,0.212,-0.008
680,-76.561,0.212,-0.009
681,-76.561,0.212,-0.009
682,-76.561,0.212,-0.009
683,-76.561,0.212,-0.009
684,-76.561,0.211,-0.008
685,-76.561,0.211,-0.008
686,-76.561,0.212,-0.008
687,-76.561,0.212,-0.008
688,-76.561,0.212,-0.008
689,-76.561,0.212,-0.008
690,-76.561,0.211,-0.008
691,-76.561,0.211,-0.008
692,-76.561,0.212,-0.008
693,-76.561,0.212,-0.009
694,-76.561,0.212,-0.008
695,-76.561,0.212,-0.009
696,-76.561,0.211,-0.009
697,-76.561,0.211,-0.009
698,-76.561,0.212,-0.01
699,-76.561,0.211,-0.01
700,-76.561,0.211,-0.009
701,-76.561,0.211,-0.009
702,-76.561,0.211,-0.01
703,-76.561,0.211,-0.01
704,-76.561,0.212,-0.009
705,-76.561,0.212,-0.01
706,-76.561,0.211,-0.01
707,-76.561,0.211,-0.01
708,-76.561,0.212,-0.01
709,-76.561,0.212,-0.01
710,-76.561,0.212,-0.011
711,-76.561,0.212,-0.011
712,-76.561,0.211,-0.011
713,-76.561,0.212,-0.011
714,-76.561,0.213,-0.012
715,-76.561,0.212,-0.012
716,-76.561,0.213,-0.012
717,-76.561,0.213,-0.012
718,-76.562,0.212,-0.013
719,-76.562,0.212,-0.013
720,-76.562,0.213,-0.013
721,-76.562,0.213,-0.013
722,-76.562,0.212,-0.013
723,-76.563,0.212,-0.013
724,-76.563,0.212,-0.013
725,-76.566,0.213,-0.014
726,-76.616,0.213,-0.015
727,-76.846,0.213,-0.016
728,-77.186,0.208,-0.035
729,-77.557,0.208,-0.035
730,-77.927,0.207,-0.034
731,-78.28,0.207,-0.035
732,-78.573,0.207,-0.035
733,-78.794,0.207,-0.036
734,-78.957,0.207,-0.036
735,-79.08,0.207,-0.037
736,-79.179,0.207,-0.037
737,-79.27,0.207,-0.037
738,-79.359,0.207,-0.037
739,-79.438,0.206,-0.037
