,xAcc,yAcc,zAcc
410,-0.0659,-0.0054,1.0925
411,-0.0659,-0.0088,1.0535
412,-0.0605,-0.0168,1.0444
413,-0.0608,-0.0083,1.0317
414,-0.0562,-0.0073,1.0208
415,-0.0549,-0.009,0.9961
416,-0.0488,-0.01,0.9822
417,-0.0481,-0.0164,0.9651
418,-0.0391,-0.0164,0.9561
419,-0.0464,-0.0164,0.9492
420,-0.043,-0.0195,0.9294
421,-0.0486,-0.0117,0.9187
422,-0.0408,-0.0161,0.9229
423,-0.0388,-0.0151,0.9058
424,-0.0427,-0.022,0.8984
425,-0.0398,-0.0161,0.9009
426,-0.0308,-0.01,0.8997
427,-0.0337,-0.0122,0.896
428,-0.032,-0.0181,0.8975
429,-0.0293,-0.0117,0.9016
430,-0.0281,-0.0081,0.906
431,-0.0291,-0.0208,0.9126
432,-0.0347,-0.0178,0.9138
433,-0.0325,-0.011,0.9253
434,-0.0305,-0.0098,0.9365
435,-0.0266,-0.0078,0.946
436,-0.0239,-0.0149,0.9563
437,-0.0315,-0.0037,0.9788
438,-0.0232,-0.0142,0.9819
439,-0.0225,-0.0134,0.999
440,-0.0247,-0.0173,1.0117
441,-0.0281,-0.0083,1.021
442,-0.0332,-0.0071,1.0415
443,-0.0249,-0.0098,1.0471
444,-0.0337,-0.0085,1.061
445,-0.0315,-0.0198,1.0759
446,-0.0405,-0.0098,1.1057
447,-0.0317,-0.0061,1.1099
448,-0.0305,-0.0056,1.1277
449,-0.0422,-0.0071,1.1401
450,-0.0391,-0.0061,1.1511
451,-0.0439,-0.0037,1.1621
452,-0.0488,-0.0073,1.1755
453,-0.052,-0.0073,1.1816
454,-0.0544,-0.0095,1.1853
455,-0.0549,-0.0024,1.1848
456,-0.0596,-0.0059,1.2026
457,-0.0579,-0.01,1.2058
458,-0.062,-0.0012,1.2153
459,-0.0664,0.0005,1.2131
460,-0.0693,-0.0054,1.2083
461,-0.0703,0.0024,1.2119
462,-0.0803,0.001,1.2136
463,-0.0791,0.002,1.2063
464,-0.0793,0.0015,1.1946
465,-0.0815,0.0027,1.1995
466,-0.084,0.0037,1.186
467,-0.084,-0.0017,1.1748
468,-0.0913,0.0049,1.1658
469,-0.094,0.0068,1.1526
470,-0.0925,0.0088,1.1479
471,-0.0947,0.0085,1.1384
472,-0.092,0.0066,1.1135
473,-0.0945,0.0105,1.0991
474,-0.1003,0.0066,1.0859
475,-0.0913,0.0137,1.0798
476,-0.0916,0.0156,1.0591
477,-0.0906,0.0166,1.0403
478,-0.0884,0.0073,1.0225
479,-0.083,0.0176,1.0176
480,-0.082,0.0122,1.0049
481,-0.0818,0.0186,0.9817
482,-0.0781,0.0181,0.9717
483,-0.0774,0.0178,0.9629
484,-0.0715,0.0225,0.9575
485,-0.0647,0.02,0.9441
486,-0.0667,0.0164,0.9312
487,-0.0669,0.0227,0.9297
488,-0.0664,0.0278,0.9277
489,-0.061,0.0242,0.9138
490,-0.052,0.0166,0.9119
491,-0.0574,0.02,0.9062
492,-0.0601,0.0276,0.9106
493,-0.0525,0.0205,0.9048
494,-0.0508,0.0208,0.9224
495,-0.0547,0.0181,0.9282
496,-0.0532,0.0198,0.9197
497,-0.0569,0.0278,0.925
498,-0.0576,0.0215,0.9385
499,-0.0613,0.02,0.9529
500,-0.0569,0.0242,0.9536
501,-0.0569,0.0229,0.9585
502,-0.0635,0.0227,0.9688
503,-0.054,0.0276,0.9893
504,-0.0586,0.0244,1.0017
505,-0.0596,0.0237,1.0139
506,-0.0652,0.021,1.0198
507,-0.0645,0.0161,1.0359
508,-0.0659,0.0186,1.0623
509,-0.0662,0.0244,1.0696
510,-0.0686,0.0225,1.0886
511,-0.0752,0.0181,1.0981
512,-0.0664,0.0208,1.1152
513,-0.0698,0.0222,1.1272
514,-0.0698,0.0151,1.1392
515,-0.0732,0.0127,1.1472
516,-0.0791,0.0093,1.1477
517,-0.0784,0.011,1.1677
518,-0.0759,0.0137,1.1711
519,-0.0813,0.0178,1.1895
520,-0.0818,0.0173,1.1912
521,-0.0837,0.0046,1.2095
522,-0.083,0.0093,1.1995
523,-0.0891,0.0015,1.2009
524,-0.0884,0.0103,1.2019
525,-0.0806,0.0125,1.2185
526,-0.0874,0.0076,1.2053
527,-0.0857,0.0103,1.2063
528,-0.0869,0.0071,1.2048
529,-0.0835,0.0098,1.1941
530,-0.0857,0.0056,1.1936
531,-0.0835,0.0022,1.1853
532,-0.0837,0.0054,1.1726
533,-0.0811,0.0044,1.155
534,-0.0781,-0.0027,1.1506
535,-0.0718,-0.0027,1.1504
536,-0.073,-0.0032,1.1211
537,-0.0757,-0.0012,1.1047
538,-0.0728,-0.0061,1.0906
539,-0.0713,-0.001,1.0837
540,-0.0706,-0.0044,1.0669
541,-0.0752,-0.0098,1.0552
542,-0.0662,-0.0105,1.0396
543,-0.0632,-0.0134,1.0198
544,-0.0598,-0.011,0.9915
545,-0.0586,-0.0093,0.9907
546,-0.0562,-0.0088,0.979
547,-0.0544,-0.0132,0.9688
548,-0.0481,-0.0139,0.9607
549,-0.0454,-0.0134,0.9463
550,-0.0464,-0.0137,0.9294
551,-0.0386,-0.0061,0.9326
552,-0.0388,-0.011,0.9248
553,-0.0332,-0.0212,0.9207
554,-0.0291,-0.0134,0.9087
555,-0.0298,-0.0142,0.908
556,-0.0269,-0.0146,0.9067
557,-0.0225,-0.0156,0.9116
558,-0.0215,-0.0181,0.917
559,-0.0234,-0.0098,0.9131
560,-0.019,-0.0186,0.9082
561,-0.0171,-0.0098,0.9172
562,-0.0142,-0.0168,0.9219
563,-0.0193,-0.0181,0.9272
564,-0.0186,-0.0176,0.9351
565,-0.0122,-0.0125,0.9404
566,-0.0178,-0.0178,0.9519
567,-0.0168,-0.0195,0.9597
568,-0.0193,-0.0168,0.9753
569,-0.0203,-0.0122,0.9871
570,-0.0264,-0.0154,0.9934
571,-0.0303,-0.0095,1.0083
572,-0.0364,-0.0142,1.0256
573,-0.0334,-0.012,1.0454
574,-0.0369,-0.0215,1.0513
575,-0.0366,-0.0115,1.0703
576,-0.04,-0.0149,1.0793
577,-0.053,-0.0066,1.0986
578,-0.0522,-0.0134,1.1143
579,-0.05,-0.02,1.1216
580,-0.0618,-0.0085,1.1277
581,-0.0608,-0.0161,1.1431
582,-0.0708,-0.0046,1.156
583,-0.0745,-0.0132,1.1675
584,-0.0776,-0.0144,1.1638
585,-0.0815,-0.0083,1.1907
586,-0.084,0.0012,1.1997
587,-0.0916,-0.0071,1.2026
588,-0.0962,0.0017,1.2
589,-0.0923,-0.0044,1.1985
590,-0.1013,-0.0054,1.2036
591,-0.1033,-0.0085,1.2014
592,-0.1003,-0.0103,1.197
593,-0.1082,-0.0017,1.1907
594,-0.1079,0.0051,1.2
595,-0.1096,0.0034,1.1943
596,-0.1069,0.0034,1.1802
597,-0.1106,-0.0005,1.1733
598,-0.1125,-0.0017,1.1672
599,-0.1086,0.0056,1.1543
600,-0.1055,0.012,1.1426
601,-0.1104,0.0044,1.1292
602,-0.1067,0.0149,1.1157
603,-0.1028,0.0054,1.1033
604,-0.1001,0.0151,1.0959
605,-0.0977,0.0042,1.0684
606,-0.0911,0.0056,1.0625
607,-0.0938,0.0188,1.0479
608,-0.0808,0.0181,1.0308
