TimeStartup,TimeGps,TimeSyncIn,Yaw,Pitch,Roll,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,UncompAccX,UncompAccY,UncompAccZ,UncompGyroX,UncompGyroY,UncompGyroZ,MagX,MagY,MagZ,Temperature,Pressure
258897507000,258897507000,258897507000,-144.208,-000.088,+000.155,-00.000055,+00.000040,-00.000176,-00.0059,-00.0182,-09.7531,-00.0059,-00.0182,-09.7531,-00.000053,+00.000145,-00.001355,-0.548,+0.811,+1.241,+036.52,+100.09
258900007000,258900007000,258900007000,-144.208,-000.088,+000.156,+00.000505,-00.000280,+00.000122,-00.0455,-00.0127,-09.7619,-00.0455,-00.0127,-09.7619,+00.000508,-00.000175,-00.001057,-0.548,+0.811,+1.241,+036.52,+100.09
258902507000,258902507000,258902507000,-144.208,-000.088,+000.156,+00.000747,-00.000453,+00.000386,+00.0031,-00.0047,-09.7813,+00.0031,-00.0047,-09.7813,+00.000749,-00.000348,-00.000793,-0.548,+0.811,+1.240,+036.52,+100.09
258905007000,258905007000,258905007000,-144.208,-000.088,+000.155,-00.000429,-00.000254,+00.000656,+00.0264,-00.0164,-09.7943,+00.0264,-00.0164,-09.7943,-00.000427,-00.000150,-00.000523,-0.548,+0.811,+1.240,+036.52,+100.09
258907507000,258907507000,258907507000,-144.208,-000.088,+000.155,+00.000044,-00.000305,+00.000435,-00.0400,-00.0338,-09.7905,-00.0400,-00.0338,-09.7905,+00.000047,-00.000201,-00.000743,-0.538,+0.811,+1.244,+036.52,+100.09
258910007000,258910007000,258910007000,-144.208,-000.088,+000.155,+00.000043,+00.000104,+00.000306,-00.0083,-00.0177,-09.8266,-00.0083,-00.0177,-09.8266,+00.000046,+00.000209,-00.000873,-0.538,+0.811,+1.242,+036.52,+100.09
258912507000,258912507000,258912507000,-144.208,-000.087,+000.155,-00.000631,+00.001277,-00.000372,+00.0017,-00.0383,-09.8192,+00.0017,-00.0383,-09.8192,-00.000628,+00.001382,-00.001551,-0.538,+0.811,+1.242,+036.52,+100.09
258915007000,258915007000,258915007000,-144.208,-000.087,+000.155,+00.000433,+00.000220,-00.000836,-00.0528,-00.0736,-09.7643,-00.0528,-00.0736,-09.7643,+00.000436,+00.000325,-00.002015,-0.546,+0.816,+1.240,+036.52,+100.09
258917507000,258917507000,258917507000,-144.208,-000.088,+000.156,+00.000691,-00.000382,-00.000751,-00.0105,-00.0446,-09.7443,-00.0105,-00.0446,-09.7443,+00.000694,-00.000278,-00.001930,-0.546,+0.816,+1.240,+036.52,+100.10
258920007000,258920007000,258920007000,-144.208,-000.088,+000.156,+00.000226,+00.000596,-00.000140,-00.0258,-00.0070,-09.7455,-00.0258,-00.0070,-09.7455,+00.000229,+00.000701,-00.001319,-0.545,+0.811,+1.240,+036.52,+100.10
258922507000,258922507000,258922507000,-144.208,-000.088,+000.156,+00.000673,+00.000660,-00.000192,-00.0633,-00.0342,-09.7685,-00.0633,-00.0342,-09.7685,+00.000675,+00.000765,-00.001371,-0.546,+0.815,+1.240,+036.52,+100.08
258925007000,258925007000,258925007000,-144.208,-000.088,+000.156,+00.000886,-00.000379,-00.000895,+00.0053,-00.0407,-09.7872,+00.0053,-00.0407,-09.7872,+00.000889,-00.000274,-00.002074,-0.546,+0.815,+1.240,+036.52,+100.08
258927507000,258927507000,258927507000,-144.208,-000.088,+000.156,-00.000313,-00.000694,-00.000728,-00.0014,-00.0251,-09.7755,-00.0014,-00.0251,-09.7755,-00.000311,-00.000590,-00.001907,-0.545,+0.811,+1.239,+036.52,+100.09
